Card Name,List,Description,Labels,Story Points,Acceptance Criteria,Sprint,Priority
HU12 Registrar inspeccion sanitaria,Product Backlog,Como Inspector sanitario municipal quiero registrar una inspeccion sanitaria con checklist basico para dejar evidencia estructurada del control realizado,Inspector|Alta,8,Registra checklist; guarda resultado; exige inspector autenticado,Sprint 2,Alta
HU13 Cambiar estado sanitario,Product Backlog,Como Inspector sanitario municipal quiero cambiar el estado sanitario de un puesto para reflejar el resultado de la inspeccion,Inspector|Alta,5,Cambia estado sanitario; exige inspeccion asociada; registra trazabilidad,Sprint 2,Alta
HU14 Revisar reportes pendientes,Product Backlog,Como Inspector sanitario municipal quiero revisar reportes ciudadanos pendientes para priorizar casos con mayor riesgo sanitario,Inspector|Alta,5,Lista reportes pendientes; permite priorizar; muestra datos del riesgo reportado,Sprint 2,Alta
HU15 Vincular reporte a puesto o inspeccion,Product Backlog,Como Inspector sanitario municipal quiero vincular un reporte ciudadano a un puesto o inspeccion para mantener trazabilidad del caso,Inspector|Media,5,Vincula reporte con puesto o inspeccion; evita duplicados; conserva historial del caso,Sprint 2,Media
HU16 Registrar evidencia de inspeccion,Product Backlog,Como Inspector sanitario municipal quiero registrar evidencia de inspeccion para sustentar decisiones sanitarias tomadas en campo,Inspector|Media,3,Adjunta evidencia de inspeccion; valida archivo; vincula evidencia al acta,Sprint 2,Media
HU17 Visualizar panel administrativo,Product Backlog,Como Administrador quiero visualizar un panel con indicadores sanitarios para monitorear el estado general de puestos y reportes,Administrador|Alta,8,Muestra indicadores; permite lectura por estado; usa datos reales del sistema,Sprint 3,Alta
HU18 Gestionar reportes desde panel,Product Backlog,Como Administrador quiero gestionar reportes sanitarios desde el panel para dar seguimiento a casos abiertos y cerrados,Administrador|Alta,5,Cambia estado de reportes; registra responsable; separa casos abiertos y cerrados,Sprint 3,Alta
HU19 Exportar CSV basico,Product Backlog,Como Administrador quiero exportar reportes e inspecciones en CSV para elaborar evidencia basica para el informe municipal,Administrador|Media,3,Exporta CSV basico; incluye reportes o inspecciones; respeta filtros aplicados,Sprint 3,Media
HU20 Revisar trazabilidad por puesto,Product Backlog,Como Administrador quiero revisar la trazabilidad de cambios por puesto para auditar las decisiones sanitarias registradas,Administrador|Media,5,Muestra historial de cambios; identifica usuario responsable; ordena eventos por fecha,Sprint 3,Media
HU21 Autenticar usuarios,Sprint 1 Backlog,Como Transversal quiero autenticar usuarios con correo y contrasena para permitir acceso seguro al sistema segun identidad registrada,Transversal|Alta,5,Permite login; rechaza credenciales invalidas; mantiene sesion protegida,Sprint 1,Alta
HU22 Aplicar roles y perfil basico,Sprint 1 Backlog,Como Transversal quiero aplicar roles y perfil basico de usuario para restringir funcionalidades segun ciudadano vendedor inspector o administrador,Transversal|Alta,8,Asigna rol; restringe menu; bloquea API sin permiso,Sprint 1,Alta
